id,meta.status,meta.reviewedBy,meta.changelog,meta.parentId,meta.localId,label.shortForm.de,label.shortForm.en,label.longForm.de,label.longForm.en,description.de,head,links.homepage.de,links.homepage.en,headLiteral,partOf,peopleCount.uniqueProfessors.physicist.female,peopleCount.uniqueProfessors.physicist.male,peopleCount.uniqueProfessors.physicist.other,peopleCount.uniqueProfessors.engineer.female,peopleCount.uniqueProfessors.engineer.male,peopleCount.uniqueProfessors.engineer.other,peopleCount.uniqueProfessors.other.female,peopleCount.uniqueProfessors.other.male,peopleCount.uniqueProfessors.other.other,peopleCount.uniqueSeniorResearchers.physicist.female,peopleCount.uniqueSeniorResearchers.physicist.male,peopleCount.uniqueSeniorResearchers.physicist.other,peopleCount.uniqueSeniorResearchers.engineer.female,peopleCount.uniqueSeniorResearchers.engineer.male,peopleCount.uniqueSeniorResearchers.engineer.other,peopleCount.uniqueSeniorResearchers.other.female,peopleCount.uniqueSeniorResearchers.other.male,peopleCount.uniqueSeniorResearchers.other.other,peopleCount.uniquePostDocs.physicist.female,peopleCount.uniquePostDocs.physicist.male,peopleCount.uniquePostDocs.physicist.other,peopleCount.uniquePostDocs.engineer.female,peopleCount.uniquePostDocs.engineer.male,peopleCount.uniquePostDocs.engineer.other,peopleCount.uniquePostDocs.other.female,peopleCount.uniquePostDocs.other.male,peopleCount.uniquePostDocs.other.other,peopleCount.uniquePhdStudents.physicist.female,peopleCount.uniquePhdStudents.physicist.male,peopleCount.uniquePhdStudents.physicist.other,peopleCount.uniquePhdStudents.engineer.male,peopleCount.uniquePhdStudents.engineer.other,peopleCount.uniquePhdStudents.other.female,peopleCount.uniquePhdStudents.other.male,peopleCount.uniquePhdStudents.other.other,peopleCount.uniqueMasterStudents.physicist.female,peopleCount.uniqueMasterStudents.physicist.male,peopleCount.uniqueMasterStudents.physicist.other,peopleCount.uniqueMasterStudents.engineer.female,peopleCount.uniqueMasterStudents.engineer.male,peopleCount.uniqueMasterStudents.engineer.other,peopleCount.uniqueMasterStudents.other.female,peopleCount.uniqueMasterStudents.other.male,peopleCount.uniqueMasterStudents.other.other,peopleCount.uniqueBachelorStudents.physicist.female,peopleCount.uniqueBachelorStudents.physicist.male,peopleCount.uniqueBachelorStudents.physicist.other,peopleCount.uniqueBachelorStudents.engineer.female,peopleCount.uniqueBachelorStudents.engineer.male,peopleCount.uniqueBachelorStudents.engineer.other,peopleCount.uniqueBachelorStudents.other.female,peopleCount.uniqueBachelorStudents.other.male,peopleCount.uniqueBachelorStudents.other.other
/gsi/acc/aph/hc,01 in preparation,aßmann.ralph,,/gsi/acc/aph,hc,ACC/IOS/HC,ACC/IOS/HC,Hochstrom-Gruppe,High current group,,,https://www.gsi.de/work/beschleunigerbetrieb/abteilungen/ope/mitarbeiter,https://www.gsi.de/work/beschleunigerbetrieb/abteilungen/ope/mitarbeiter,,/gsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/gsi/acc/aph/ope,01 in preparation,aßmann.ralph,,/gsi/acc/aph,ope,ACC/OPE,ACC/OPE,Betriebsleitung,Operation Department,,,https://www.gsi.de/work/beschleunigerbetrieb/abteilungen/ope/mitarbeiter,https://www.gsi.de/work/beschleunigerbetrieb/abteilungen/ope/mitarbeiter,,/gsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/gsi/acc/bco,01 in preparation,aßmann.ralph,,/gsi/acc,bco,ACC/BCO,ACC/BCO,Abteilung Strahlkühlung,Department Vacuum systems,,,https://www.gsi.de/work/beschleunigerbetrieb/abteilungen/strahlkuehlung,https://www.gsi.de/en/work/accelerator_operations/departments/beam_cooling,,/gsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/gsi/acc/bea,01 in preparation,aßmann.ralph,,/gsi/acc,bea,ACC/BEA,ACC/BEA,Abteilung Strahldiagnose,Department Beam Diagnostics,,,https://www.gsi.de/work/gesamtprojektleitung_fair/commons/beam_instrumentation,https://www.gsi.de/en/work/project_management_fair/commons/beam_instrumentation,,/gsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/gsi/acc/cry,01 in preparation,aßmann.ralph,,/gsi/acc,cry,ACC/CRY,ACC/CRY,Abteilung Kryogenik,Department Cryogenics,,,https://www.gsi.de/work/gesamtprojektleitung_fair/commons/cryogenics,https://www.gsi.de/en/work/project_management_fair/commons/cryogenics,,/gsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/gsi/acc/dec,01 in preparation,aßmann.ralph,,/gsi/acc,dec,ACC/DEC,ACC/DEC,Abteilung Decceleratoren ,Department Decelerators,,,https://www.gsi.de/work/beschleunigerbetrieb/abteilungen/deceleratoren,https://www.gsi.de/en/work/accelerator_operations/departments/decelerators,,/gsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/gsi/acc/eps,01 in preparation,aßmann.ralph,,/gsi/acc,eps,ACC/EPS,ACC/EPS,Abteilung Elektrische Energiesysteme,Department Electric power systems,,,,,,/gsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/gsi/acc/lin,01 in preparation,aßmann.ralph,,/gsi/acc,lin,ACC/LIN,ACC/LIN,Abteilung Linac,Department Linac,,,https://www.gsi.de/work/beschleunigerbetrieb/abteilungen/ope/mitarbeiter,https://www.gsi.de/work/beschleunigerbetrieb/abteilungen/ope/mitarbeiter,,/gsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/gsi/acc/lrf,01 in preparation,aßmann.ralph,,/gsi/acc,lrf,ACC/LRF,ACC/LRF,Abteilung UNILAC RF,Department UNILAC RF,,,https://www.gsi.de/work/beschleunigerbetrieb/abteilungen/ope/mitarbeiter,https://www.gsi.de/work/beschleunigerbetrieb/abteilungen/ope/mitarbeiter,,/gsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/gsi/acc/ncm,01 in preparation,aßmann.ralph,,/gsi/acc,ncm,ACC/NCM,ACC/NCM,Abteilung NC Magnete & Alignment,Department NC Magnets & Alignment,,,https://www.gsi.de/work/gesamtprojektleitung_fair/commons/engineering/nc_magnets_alignment,https://www.gsi.de/en/work/project_management_fair/commons/engineering/nc_magnets_and_alignment,,/gsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
