"id","meta.status","meta.changelog","meta.id","meta.parent","meta.parentId","meta.localId","label.long-form.de","label.longForm.en","label.shortForm.de","description.de","meta.reviewedBy","meta.organizationalLevel","meta.befideOrganizationCategories","links.homepage.de","links.homepage.en","head","headLiteral","peopleCount.uniqueProfessors","peopleCount.uniqueSeniorResearchers","peopleCount.uniquePostDocs","peopleCount.uniquePhdStudents","peopleCount.uniqueWorkingStudents_MSC","peopleCount.uniqueWorkingStudents_BSC"
"root.hzdr.radioonkologie.hochpraezisions-protonentherapie","01 in preparation",,"root.hzdr.radioonkologie.hochpraezisions-protonentherapie","root.hzdr.radioonkologie","root.hzdr.radioonkologie","hochpraezisions-protonentherapie","Hochpräzisions-Protonen­therapie",,,,"krause.mechthild","05 work group","hgf","https://www.hzdr.de/db/Cms?pNid=906","https://www.hzdr.de/db/Cms?pNid=906",," Prof. Christian Richter","0","0","0","0","0","0"
"root.hzdr.radioonkologie.medizinphysik","01 in preparation",,"root.hzdr.radioonkologie.medizinphysik","root.hzdr.radioonkologie","root.hzdr.radioonkologie","medizinphysik","Medizinische Strahlen­physik",,,,"krause.mechthild","05 work group","hgf","https://www.hzdr.de/db/Cms?pNid=561","https://www.hzdr.de/db/Cms?pNid=561",," Prof. Christian Richter","0","0","0","0","0","0"
"root.hzdr.radiopharmazeutische-krebsforschung.targetry","01 in preparation",,"root.hzdr.radiopharmazeutische-krebsforschung.targetry","root.hzdr.radiopharmazeutische-krebsforschung","root.hzdr.radiopharmazeutische-krebsforschung","targetry","Targetry, Target Chemie und Radiopharmazie",,,,"kopka.klaus","05 work group","hgf","https://www.hzdr.de/db/Cms?pNid=1778","https://www.hzdr.de/db/Cms?pNid=1778",,"Dr. Martin Kreller","0","0","0","0","0","0"
"root.hzdr.strahlenphysik.elbe","01 in preparation",,"root.hzdr.strahlenphysik.elbe","root.hzdr.strahlenphysik","root.hzdr.strahlenphysik","elbe","Abteilung Strahlungsquelle ELBE",,,,"schramm.ullrich","05 work group","hgf","https://www.hzdr.de/db/Cms?pNid=145","https://www.hzdr.de/db/Cms?pNid=145",,"Dr. Andreas Wagner","0","0","0","0","0","0"
"root.hzdr.strahlenphysik.hed","01 in preparation",,"root.hzdr.strahlenphysik.hed","root.hzdr.strahlenphysik","root.hzdr.strahlenphysik","hed","High Energy Density","High Energy Density",,,"schramm.ullrich","05 work group","hgf","https://www.hzdr.de/db/Cms?pNid=248","https://www.hzdr.de/db/Cms?pNid=248","cowan.thomas",,"0","2","6","4","0","0"
"root.hzdr.strahlenphysik.hibef.bau-und-inbetriebnahme","01 in preparation",,"root.hzdr.strahlenphysik.hibef.bau-und-inbetriebnahme","root.hzdr.strahlenphysik.hibef","root.hzdr.strahlenphysik.hibef","bau-und-inbetriebnahme","Bau und Inbetriebnahme von HIBEF",,,"Das Ziel des Helmholtz International Beamline for Extreme Fields (HIBEF) Nutzer Konsortiums ist der Aufbau und der Betrieb unterschiedlicher Experimente an der High Energy Density (HED) Beamline des europäischen XFEL (X-Ray Free-Electron Laser) mit weltweit einzigartigen ultrakurzen und extrem lichtstarken Röntgenblitzen. Es ist als internationales Nutzer-Konsortium organisiert, um das höchste wissenschaftliche und technische Niveau der bereitgestellten Ausrüstung zu gewährleisten, die wiederum allen Wissenschaftlern zur Verfügung stehen. Im Fokus des Interesses steht die Physik der Hochenergiedichte, die Plasmaphysik, Geowissenschaft der Planeten, Hochdruckphysik und Physik der starken Felder, Magnetismus und korrelierte Elektronensysteme sowie Dynamik von Materialien.","schramm.ullrich","05 work group","hgf",,,,"PD Dr. Toma Toncian","0","0","0","0","0","0"
"root.hzdr.strahlenphysik.hibef.hibef-2","01 in preparation",,"root.hzdr.strahlenphysik.hibef.hibef-2","root.hzdr.strahlenphysik.hibef","root.hzdr.strahlenphysik.hibef","hibef-2","HIBEF 2.0",,,,"schramm.ullrich","05 work group","hgf",,,,,"0","0","0","0","0","0"
"root.hzdr.strahlenphysik.hibef.laser-systeme","01 in preparation",,"root.hzdr.strahlenphysik.hibef.laser-systeme","root.hzdr.strahlenphysik.hibef","root.hzdr.strahlenphysik.hibef","laser-systeme","HIBEF Lasersysteme",,,,"schramm.ullrich","05 work group","hgf",,,,,"0","0","0","0","0","0"
"root.hzdr.strahlenphysik.hibef.starkfeld-qed","01 in preparation",,"root.hzdr.strahlenphysik.hibef.starkfeld-qed","root.hzdr.strahlenphysik.hibef","root.hzdr.strahlenphysik.hibef","starkfeld-qed","Starkfeld-QED",,,"Ein typisches Gedankenexperiment ist der ""Schwinger-Effekt"": Wenn ein externes elektrisches Feld stark genug ist um ein virtuelles Teilchen-Antiteilchen-Paar derart zu trennen dass die verrichtete Arbeit der Ruhenergie entspricht, dann wird das Paar real aufgrund der Masse-Energie-Äquivalenz. Somit könnte man Materie ""aus dem Nichts"" erschaffen.","schramm.ullrich","05 work group","hgf",,,,"Dr. Hans-Peter Schlenvoigt","0","0","0","0","0","0"
"root.hzdr.strahlenphysik.kernphysik.detektorenentwicklung","01 in preparation",,"root.hzdr.strahlenphysik.kernphysik.detektorenentwicklung","root.hzdr.strahlenphysik.kernphysik","root.hzdr.strahlenphysik.kernphysik","detektorenentwicklung","Detektorentwick­lung für die Grund­lagen­for­schung",,,,"schramm.ullrich","05 work group","hgf",,,,"Prof. Dr. Daniel Bemmerer","0","0","0","0","0","0"
"root.hzdr.strahlenphysik.kernphysik.kernphysikalische-daten","01 in preparation",,"root.hzdr.strahlenphysik.kernphysik.kernphysikalische-daten","root.hzdr.strahlenphysik.kernphysik","root.hzdr.strahlenphysik.kernphysik","kernphysikalische-daten","Kernphysikalische Daten für Wissen­schaft und Technik",,,,"schramm.ullrich","05 work group","hgf",,,,"Prof. Dr. Daniel Bemmerer","0","0","0","0","0","0"
"root.hzdr.strahlenphysik.kernphysik.nukleare-astrophysik","01 in preparation",,"root.hzdr.strahlenphysik.kernphysik.nukleare-astrophysik","root.hzdr.strahlenphysik.kernphysik","root.hzdr.strahlenphysik.kernphysik","nukleare-astrophysik","Nukleare Astrophysik",,,,"schramm.ullrich","05 work group","hgf",,,,"Prof. Dr. Daniel Bemmerer","0","0","0","0","0","0"
"root.hzdr.strahlenphysik.kernphysik.pas","01 in preparation",,"root.hzdr.strahlenphysik.kernphysik.pas","root.hzdr.strahlenphysik.kernphysik","root.hzdr.strahlenphysik.kernphysik","pas","Posi­tronen­-Annihilations-Spektroskopie",,,,"schramm.ullrich","05 work group","hgf",,,,"Dr. Andreas Wagner","0","0","0","0","0","0"
"root.hzdr.strahlenphysik.laser-teilenchen-beschleunigung.anwendung","01 in preparation",,"root.hzdr.strahlenphysik.laser-teilenchen-beschleunigung.anwendung","root.hzdr.strahlenphysik.laser-teilenchen-beschleunigung","root.hzdr.strahlenphysik.laser-teilenchen-beschleunigung","anwendung","Anwendungs­orien­tier­te Laser-Teilchenbeschleuni­gung",,,,"schramm.ullrich","05 work group","hgf",,,,"Josefine Metzkes-Ng","0","0","0","0","0","0"
"root.hzdr.strahlenphysik.laser-teilenchen-beschleunigung.computergestuetzte-strahlenphysik","01 in preparation",,"root.hzdr.strahlenphysik.laser-teilenchen-beschleunigung.computergestuetzte-strahlenphysik","root.hzdr.strahlenphysik.laser-teilenchen-beschleunigung","root.hzdr.strahlenphysik.laser-teilenchen-beschleunigung","computergestuetzte-strahlenphysik","Computergestützte Strahlenphysik",,,,"schramm.ullrich","05 work group","hgf",,,,"Michael Bussmann","0","0","0","0","0","0"
"root.hzdr.strahlenphysik.laser-teilenchen-beschleunigung.draco","01 in preparation",,"root.hzdr.strahlenphysik.laser-teilenchen-beschleunigung.draco","root.hzdr.strahlenphysik.laser-teilenchen-beschleunigung","root.hzdr.strahlenphysik.laser-teilenchen-beschleunigung","draco","Hochleis­tungs­laser DRACO",,,"Mit dem kontinuierlich weiterentwickelten Ultrakurzpuls Hochleistungslaser DRACO
steht ein auf die Laserteilchenbeschleunigung zugeschnittenes 150 Terawatt / Petawatt
Zweistrahlsystem mit dedizierter Diagnostik zur Verfügung, das in zwei unabhängigen
Messumgebungen eingesetzt werden kann.","schramm.ullrich","05 work group","hgf",,,"schramm.ullrich",,"0","0","0","0","0","0"
