id,meta.reviewStatus,meta.reviewedBy,meta.reviewLog,label.fullName.de,label.fullName.en,label.acronym.de,label.acronym.en,definition.de,definition.en,isPartOf,isSuccessorOf,acceleratorType,facilityType,facilityTypeParticles,lifeCycle,t0,t1,hasHost,location.country.code,isBmbfFis,primaryApplications,secondaryApplications,link.homepage.de,link.homepage.en
/ess,02: in prereview,,,Europäische Spallationsquelle,European Spallation Source,ESS,ESS,European Spallation Source,European Spallation Source,,,/accelerator/linac/,/facility/accelerator-based-facility/neutron-source/spallation-neutron-source,ions,construction,2023,,/ess,SE,checked,/accelerator-application/science-application/neutron-science,,,
/eu-xfel,01: in preparation,,,Europäische Freie-Elektronen-Röntgenlaseranlage,European X-Ray Free-Electron Laser Facility,European XFEL,European XFEL,,,,,/accelerator/linac/,/facility/accelerator-based-facility/photon-source/free-electron-laser/,electrons,operation,2017,2030,/eu-xfel,DE,checked,/accelerator-application/science-application/photon-science,,,
/eu-xfel__1.5,02: in prereview,,,European XFEL 1.5,European XFEL 1.5,European XFEL 1.5,European XFEL 1.5,,,,/eu-xfel,/accelerator/linac/,/facility/accelerator-based-facility/photon-source/free-electron-laser/,electrons,designing,2025,2029,/eu-xfel,DE,,/accelerator-application/science-application/photon-science,,,
/eu-xfel__2.0,02: in prereview,,,European XFEL 2.0,European XFEL 2.0,European XFEL 2.0,European XFEL 2.0,,,,/eu-xfel,/accelerator/linac/,/facility/accelerator-based-facility/photon-source/free-electron-laser/,electrons,designing,2030,2040,/eu-xfel,DE,,/accelerator-application/science-application/photon-science,,,
/eupraxia,01: in preparation,,,Europäischer Plasma-Forschungsbeschleuniger,European Plasma Research Accelerator with eXcellence In Applications ,EuPRAXIA,EuPRAXIA,,,,,,,electrons,conceptionally-designed,,,,,,/accelerator-application/science-application/accelerator-science,/accelerator-application/science-application/photon-science,,
/fair,01: in preparation,,,Forschungsanlage für Antiprotonen und Ionen,Facility for Antiproton and Ion Research,FAIR,FAIR,,,,,,,ions,construction,2022,2029,/fair,DE,checked,/accelerator-application/science-application/hadron-physics,,,
/fair/cr,02: in prereview,,,Collector Ring,Collector Ring,CR,CR,,,/fair,,/accelerator/storage-ring/,,,construction,,,/fair,,,/accelerator-application/science-application/hadron-physics,,,
/fair/esr,01: in preparation,,,Experimentierspeicherring ,Experimental Storage Ring,ESR,ESR,,,/fair,,/accelerator/storage-ring/,,,construction,,,/fair,,,/accelerator-application/science-application/hadron-physics,,,
/fair/hept,02: in prereview,,,HEPT,HEPT,,,,,/fair,,,,,construction,,,/fair,,,/accelerator-application/science-application/hadron-physics,,,
/fair/hesr,02: in prereview,,,Hochenergiespeicherring,HESR,HESR,HESR,"Hochenergiespeicherring HESR für Antiprotonen im Energiebereich zwischen 0,83 GeV und 14 GeV",High-energy storage ring HESR for antiprotons in the energy range between 0.83 GeV and 14 GeV,/fair,,/accelerator/storage-ring/,,,construction,,,/fair,,,/accelerator-application/science-application/hadron-physics,,,
/fair/p-bar,02: in prereview,,,PBAR,PBAR,,,,,/fair,,,,,construction,,,/fair,,,/accelerator-application/science-application/hadron-physics,,,
